CPUUtilization,DiskReadOps,DiskWriteOps,NetworkIn,NetworkOut
57.91,928,545,5456.0,2922.0
89.06,623,893,10385.0,25596.0
83.79,1399,500,41772.0,34446.0
22.84,1162,1422,10870.0,6980.0
45.07,702,977,16099.0,48930.0
87.83,703,1321,27683.0,38861.0
64.32,1083,1288,2206.0,47626.0
60.29,1438,1419,20193.0,11041.0
51.9,1041,977,28618.0,46792.0
65.69,1314,1184,20794.0,34828.0
46.39,942,1327,1680.0,7859.0
48.79,629,1262,32959.0,49144.0
36.61,540,1315,49252.0,27947.0
11.23,1365,973,14705.0,20898.0
19.45,869,1410,28079.0,33040.0
16.36,738,1354,27142.0,4221.0
63.38,915,1061,26208.0,22728.0
48.1,1447,836,7553.0,38012.0
52.54,1162,1235,17038.0,35523.0
75.09,1239,732,22133.0,23003.0
70.04,872,1395,22768.0,28699.0
18.0,1280,1125,41880.0,30812.0
53.36,842,1385,40383.0,41695.0
42.72,1217,1129,5629.0,43894.0
41.35,1290,983,12618.0,32353.0
14.55,962,1176,15719.0,4699.0
71.59,804,1192,4847.0,18939.0
30.63,1425,1351,25047.0,5834.0
64.21,810,665,12370.0,41060.0
14.99,610,1136,9397.0,15335.0
64.64,1469,1459,42134.0,42178.0
10.02,1305,687,18858.0,21918.0
57.93,660,990,7114.0,7551.0
82.39,1124,1327,31781.0,8850.0
25.65,978,1152,30336.0,32065.0
30.48,679,846,14163.0,24179.0
39.95,1155,674,26798.0,3522.0
53.91,661,529,29537.0,39323.0
77.95,1444,1373,29051.0,5200.0
46.97,663,1091,41932.0,38568.0
86.09,1474,1392,38596.0,28021.0
77.08,989,1013,2537.0,47631.0
57.33,1462,1111,48594.0,39596.0
68.2,912,1021,37724.0,13136.0
16.49,940,1066,15291.0,2130.0
27.39,831,1270,31481.0,24075.0
46.3,967,1165,36690.0,15288.0
71.76,688,914,1839.0,1654.0
32.67,661,1262,47848.0,17253.0
64.57,1325,800,5642.0,6716.0
11.4,1393,1299,28041.0,18147.0
32.94,1080,1177,11762.0,44512.0
43.41,1425,1091,41254.0,7435.0
19.5,738,1005,45573.0,32318.0
82.63,1165,858,38675.0,12469.0
85.22,924,1008,41906.0,39938.0
71.68,759,1008,21619.0,26270.0
75.22,1151,937,16484.0,16505.0
49.43,998,1407,37109.0,39907.0
14.64,1442,922,7404.0,4962.0
25.12,954,1003,48928.0,10114.0
40.13,682,803,42229.0,1179.0
59.58,1277,1071,24623.0,15420.0
68.93,1049,643,22072.0,17384.0
44.86,743,1389,7306.0,25751.0
86.41,1280,1040,8730.0,46853.0
57.78,531,1423,18565.0,11510.0
46.05,1148,1256,41989.0,24617.0
65.32,666,1077,7393.0,26186.0
69.0,790,656,36514.0,45840.0
26.26,572,1093,49047.0,49404.0
87.19,1381,950,15147.0,18342.0
37.68,1483,755,8507.0,30416.0
70.23,1313,1012,30520.0,20839.0
78.98,785,1476,35940.0,44788.0
63.7,901,644,3141.0,37458.0
23.82,576,574,32639.0,34731.0
12.01,930,1388,1054.0,27707.0
56.97,1420,874,44958.0,29037.0
78.12,903,761,17241.0,10428.0
59.36,1208,584,23079.0,33001.0
30.49,1057,746,30032.0,3981.0
39.32,1314,1344,11668.0,14233.0
34.77,1439,1396,40657.0,47903.0
47.59,1335,780,13489.0,21401.0
29.94,1003,1098,44351.0,6800.0
79.73,654,1321,21653.0,5368.0
72.39,835,935,8336.0,21754.0
10.87,556,984,13999.0,34485.0
42.28,1236,1194,29750.0,27946.0
28.38,1093,982,42423.0,44009.0
67.29,901,1314,5076.0,36290.0
29.15,680,1069,19558.0,34650.0
84.93,711,1267,3829.0,24521.0
34.51,830,728,13736.0,22013.0
78.91,1011,1066,43629.0,13418.0
59.61,728,1069,35407.0,2712.0
74.08,1465,1418,2236.0,48876.0
41.73,1320,1346,6766.0,19617.0
69.24,872,985,15995.0,42504.0
72.23,1465,1215,15334.0,29323.0
28.22,1052,1031,14566.0,42446.0
24.04,544,1124,32465.0,16083.0
25.17,1203,1491,43790.0,48717.0
74.06,1466,777,31305.0,37713.0
27.73,521,984,6177.0,1512.0
68.8,1086,1104,42553.0,34727.0
41.44,1089,983,10807.0,17277.0
71.35,707,524,49529.0,20976.0
63.22,1339,622,39029.0,24794.0
86.39,1210,1260,32028.0,49310.0
38.33,1371,854,31403.0,46475.0
27.56,783,932,40052.0,29927.0
15.17,970,609,43798.0,42739.0
23.03,877,1272,24968.0,31694.0
18.62,993,1168,49395.0,19469.0
76.58,1167,839,39768.0,35460.0
65.93,1474,1336,35091.0,16833.0
30.62,1151,734,2393.0,10081.0
11.53,955,913,45709.0,45525.0
18.91,1343,579,1658.0,26338.0
51.29,772,910,10502.0,3538.0
62.09,758,815,32410.0,9240.0
15.75,584,1413,46145.0,27824.0
28.22,545,1475,10996.0,2349.0
11.23,914,1347,34089.0,27511.0
75.09,881,705,18385.0,25271.0
52.42,807,1463,33100.0,9344.0
28.5,568,824,27051.0,47376.0
51.99,1460,541,48828.0,41738.0
51.69,1069,1497,34872.0,46298.0
53.46,1326,1315,19705.0,9280.0
61.17,1087,1276,23808.0,20367.0
18.64,768,918,43324.0,49704.0
54.58,1237,1225,42983.0,37077.0
68.87,662,1230,35962.0,4327.0
19.55,977,1070,6222.0,36645.0
43.94,1061,1467,1220.0,45858.0
33.85,712,514,48701.0,4362.0
64.26,1341,827,22262.0,27295.0
78.3,1261,1091,31916.0,7540.0
42.64,1472,720,20862.0,4891.0
66.77,1329,599,28787.0,7662.0
36.39,633,1217,1630.0,38902.0
45.39,1468,823,4804.0,29384.0
70.55,708,518,26178.0,1246.0
38.53,1015,828,25393.0,35736.0
70.34,553,520,28049.0,32528.0
81.85,1416,640,20955.0,34760.0
89.23,751,804,45309.0,20206.0
70.47,1271,966,18447.0,43070.0
76.51,1413,1440,10089.0,32812.0
77.02,967,1130,26398.0,14441.0
43.25,1439,1422,34274.0,13521.0
19.3,1097,638,39660.0,40735.0
77.25,883,1101,5127.0,5827.0
88.49,1383,1400,19578.0,23318.0
49.91,579,1009,16012.0,32120.0
83.46,763,1311,43570.0,14146.0
61.29,1352,1314,12186.0,22178.0
60.86,1421,999,3235.0,16581.0
77.07,587,1098,25428.0,4482.0
36.57,1312,1181,3318.0,2489.0
28.89,603,1062,28564.0,5023.0
28.28,1129,733,7807.0,40564.0
38.62,1454,599,31021.0,18682.0
66.61,1491,698,33606.0,7205.0
84.83,1165,650,16643.0,2707.0
58.88,613,1377,10673.0,31283.0
29.55,1449,1055,11700.0,8896.0
47.43,540,1121,15386.0,17125.0
21.12,1193,706,10103.0,10258.0
87.89,687,1482,29361.0,32222.0
76.08,544,731,11041.0,38271.0
10.95,1264,910,42825.0,43181.0
66.94,1079,898,19187.0,20054.0
45.67,937,502,19608.0,43531.0
16.64,1168,1093,20470.0,17516.0
45.32,1003,660,49978.0,42502.0
89.81,823,689,27036.0,24340.0
32.86,886,1326,36610.0,1979.0
78.16,1156,706,18273.0,14040.0
54.87,1053,949,49751.0,27967.0
44.96,690,624,19868.0,20413.0
40.92,732,619,11167.0,20906.0
27.22,1237,1390,33169.0,9370.0
39.25,1433,1453,49741.0,8362.0
58.13,685,590,16954.0,7551.0
14.83,1248,556,27618.0,14251.0
56.02,1243,1297,30862.0,16838.0
40.01,1063,1131,46102.0,34812.0
18.54,841,1226,26749.0,45161.0
50.82,799,723,18718.0,8678.0
69.39,1156,1222,40577.0,22380.0
12.35,917,1387,23717.0,42629.0
64.02,1134,1381,26469.0,23015.0
56.12,600,1281,34776.0,4023.0
61.55,1064,856,18425.0,4815.0
12.05,886,576,31875.0,8076.0
50.57,789,969,45240.0,29024.0
48.54,1137,1484,42133.0,4315.0
71.06,1406,1224,23078.0,36278.0
21.31,868,706,27229.0,48927.0
25.18,709,610,14103.0,40387.0
39.68,933,1481,38897.0,2730.0
42.5,1476,807,16335.0,34187.0
77.85,1242,1442,18591.0,18717.0
37.46,765,1464,27712.0,40286.0
73.71,617,811,17051.0,28524.0
21.38,694,895,19772.0,16636.0
38.53,876,1440,28035.0,36809.0
82.89,512,1089,14953.0,19903.0
35.25,843,1340,45548.0,45090.0
20.34,869,510,5617.0,5325.0
12.82,792,1294,4384.0,25291.0
30.55,753,500,2835.0,26493.0
72.2,1254,891,20686.0,31563.0
39.11,722,626,46755.0,2769.0
73.3,643,515,42117.0,19591.0
45.14,504,714,37669.0,26298.0
13.67,601,559,6879.0,21155.0
40.61,1209,828,11243.0,20823.0
10.48,1444,1172,8858.0,40252.0
12.14,703,1181,1882.0,38506.0
82.75,1312,866,6439.0,1153.0
77.62,716,1197,10408.0,37525.0
58.05,540,1345,24222.0,3794.0
25.03,1042,895,22929.0,45273.0
53.79,950,1316,33315.0,23833.0
87.19,1432,1259,11512.0,14249.0
86.81,1146,1219,18350.0,19848.0
50.75,1455,1015,7674.0,3411.0
29.25,1301,847,49887.0,45603.0
70.48,1479,1415,31924.0,21621.0
51.4,863,1021,49593.0,2925.0
62.78,1301,1381,28050.0,25110.0
76.31,752,1228,12286.0,3426.0
87.91,587,540,41002.0,48593.0
29.26,732,655,39911.0,13985.0
19.33,1340,674,18084.0,21032.0
45.73,870,1342,7590.0,43991.0
29.25,1410,510,35058.0,42810.0
40.7,519,976,16724.0,12949.0
32.36,1046,903,30043.0,11200.0
37.7,1465,722,23271.0,22965.0
69.64,587,865,41627.0,3693.0
13.52,1080,731,26842.0,26135.0
63.43,1135,1024,36975.0,19203.0
63.86,1308,975,44859.0,16196.0
79.32,802,777,49151.0,44973.0
67.47,627,943,25466.0,3484.0
39.58,1051,1140,46370.0,27862.0
51.17,993,888,5802.0,40299.0
79.32,847,970,16793.0,16117.0
68.11,569,695,42752.0,26957.0
65.72,1017,1095,42387.0,13100.0
83.23,1289,965,23354.0,20460.0
58.44,1321,1224,43201.0,40392.0
44.09,735,595,22207.0,41704.0
33.37,889,1114,11431.0,15239.0
23.72,716,793,32593.0,39612.0
61.14,1449,809,7783.0,23008.0
78.97,1080,1199,7193.0,46888.0
49.06,637,700,16162.0,8939.0
26.34,1258,1418,49039.0,30975.0
24.0,514,1437,6872.0,2784.0
52.51,1425,867,19826.0,30382.0
34.68,535,1458,4152.0,24268.0
57.81,793,1312,34458.0,45585.0
53.3,1025,1429,43186.0,31778.0
27.37,856,507,9810.0,5769.0
14.73,647,509,44171.0,6259.0
75.34,635,1415,28213.0,26866.0
12.98,904,1424,46468.0,49310.0
59.84,1265,867,14866.0,15318.0
85.93,1272,1214,14290.0,5784.0
36.79,1025,1384,36003.0,35123.0
37.76,745,639,24339.0,35944.0
78.77,1223,1178,18107.0,39895.0
81.2,1421,1462,20527.0,14799.0
44.88,695,782,15344.0,26445.0
44.28,748,1088,40586.0,6697.0
52.14,792,1190,20998.0,47982.0
50.89,1279,611,10181.0,45120.0
57.97,1383,1240,27887.0,22706.0
15.54,648,934,13712.0,13490.0
19.11,501,1298,6684.0,45806.0
85.3,657,729,28954.0,48551.0
76.36,1032,557,48263.0,1647.0
75.6,656,910,1960.0,44049.0
68.08,724,1233,22942.0,40625.0
56.1,1137,685,49124.0,32731.0
87.61,1193,1306,49345.0,13708.0
84.19,541,883,45414.0,4039.0
84.01,1117,1198,4366.0,10667.0
47.15,1429,1144,5027.0,48506.0
76.96,1172,559,48004.0,32188.0
12.73,1090,676,27892.0,17961.0
63.55,661,1098,17568.0,24256.0
13.9,635,898,3838.0,35258.0
86.42,1179,1457,4013.0,20345.0
79.16,919,541,45125.0,45269.0
39.58,820,1048,39138.0,39629.0
12.01,510,798,41522.0,30406.0
35.8,1108,759,24278.0,37853.0
36.82,751,1101,8299.0,17597.0
67.04,515,1308,26652.0,24384.0
68.66,1155,543,47896.0,4730.0
62.67,541,955,31255.0,8732.0
17.33,538,555,43245.0,24523.0
80.77,626,1162,29883.0,10882.0
87.25,1367,572,11005.0,44270.0
21.99,737,1060,26689.0,28266.0
35.63,1029,602,36074.0,41383.0
46.01,1156,879,38644.0,11116.0
69.99,954,501,10512.0,30663.0
73.79,1469,1467,25810.0,4689.0
84.33,1043,1067,14220.0,38448.0
76.23,524,1449,25277.0,9190.0
61.71,876,880,15352.0,34794.0
82.02,913,1456,39325.0,7582.0
40.29,870,1022,32121.0,20046.0
46.5,1403,963,29398.0,16944.0
29.86,1130,864,45147.0,33819.0
54.9,1107,684,22933.0,37771.0
75.19,643,1171,11702.0,3926.0
28.96,1196,522,39260.0,2716.0
50.61,526,712,43312.0,6139.0
10.75,662,830,4286.0,16330.0
55.16,1233,1222,35846.0,36491.0
76.49,820,962,38625.0,7103.0
21.28,1243,1165,26932.0,14411.0
57.12,1474,1409,13277.0,47436.0
52.35,888,1476,31919.0,45476.0
56.56,552,647,29478.0,39806.0
34.4,1341,1443,45335.0,1210.0
74.47,582,1239,4957.0,3160.0
14.49,593,1270,34926.0,1422.0
44.15,941,1185,15561.0,44537.0
20.37,551,543,27613.0,13824.0
28.1,1269,1335,25891.0,33939.0
50.34,1046,1176,35915.0,40782.0
69.93,744,1334,43493.0,49760.0
48.49,1261,1129,25344.0,1129.0
38.49,1368,1439,4652.0,7613.0
46.27,1164,588,15743.0,19724.0
66.54,1090,547,38449.0,25449.0
26.62,1168,1359,9421.0,24994.0
18.64,1350,940,41705.0,14710.0
83.11,1248,1412,37911.0,29344.0
86.73,1226,636,13806.0,25802.0
47.54,1483,1178,30191.0,31785.0
89.69,661,1489,3971.0,3518.0
79.43,1067,748,35925.0,29097.0
82.75,1075,1161,4383.0,33418.0
39.49,1018,525,22743.0,14135.0
80.74,1132,822,9726.0,31295.0
46.29,738,905,42950.0,29221.0
23.55,682,899,36806.0,35211.0
17.93,1412,526,38024.0,20939.0
89.78,754,1329,46711.0,36628.0
88.64,1010,647,6592.0,44803.0
54.55,1271,789,31992.0,2580.0
73.25,965,547,10366.0,11069.0
62.49,676,636,9176.0,9025.0
44.37,1466,783,27384.0,36383.0
73.99,928,1423,22641.0,15631.0
23.61,998,1422,48856.0,38444.0
67.53,502,1203,16359.0,20273.0
76.06,881,501,25456.0,24736.0
26.99,706,1424,18328.0,18225.0
20.59,690,776,22615.0,2373.0
78.5,639,858,5029.0,24559.0
27.47,576,811,9040.0,39191.0
88.11,854,508,41039.0,38308.0
48.91,1312,745,45604.0,12851.0
49.91,1191,995,29647.0,19725.0
64.4,834,1115,16068.0,35641.0
52.52,500,1324,4194.0,31638.0
13.55,818,1280,2102.0,22171.0
19.72,1021,1233,31636.0,47899.0
80.83,713,625,18111.0,10286.0
37.56,1494,883,16842.0,13643.0
57.58,1323,1053,35656.0,26044.0
73.42,1037,997,36026.0,37395.0
25.7,764,852,14830.0,31389.0
28.74,541,523,24892.0,21864.0
43.2,1457,1351,8561.0,2294.0
70.11,878,586,6465.0,26918.0
52.3,1433,842,26483.0,35075.0
80.34,673,1152,41150.0,19182.0
45.31,1443,1219,46757.0,28719.0
36.46,1115,626,40616.0,38290.0
42.33,1491,786,43853.0,43935.0
29.17,1449,893,18623.0,27544.0
64.69,920,1395,19448.0,44879.0
12.95,820,603,23199.0,38093.0
32.98,1328,1342,47479.0,4186.0
68.5,669,1320,41145.0,35096.0
18.52,597,1471,29116.0,19675.0
35.66,749,660,13816.0,28044.0
61.27,970,1299,10113.0,25375.0
31.48,547,757,29879.0,21829.0
12.85,1008,1142,7702.0,46340.0
40.85,1033,1295,25470.0,13532.0
21.27,991,1386,38456.0,24377.0
84.48,525,853,33235.0,31965.0
14.23,1016,562,1553.0,33844.0
84.88,530,623,47350.0,4351.0
19.45,1387,948,33761.0,39705.0
24.66,757,1421,44505.0,42313.0
85.53,603,605,21656.0,7168.0
69.98,1177,1039,20040.0,26349.0
11.23,661,1305,10874.0,24423.0
58.48,933,928,24209.0,42002.0
14.65,1431,1104,44387.0,9463.0
76.89,1315,955,5134.0,35540.0
21.98,1176,1243,31005.0,1724.0
21.25,778,1291,42470.0,25440.0
19.84,1238,746,32337.0,31094.0
72.85,643,1474,29622.0,7920.0
12.78,988,582,20816.0,32654.0
13.61,824,782,8344.0,39345.0
82.81,1194,661,20925.0,40047.0
64.11,1278,810,20313.0,11843.0
46.49,767,1076,25513.0,45459.0
30.43,1485,1038,17732.0,43605.0
66.0,1077,1386,41528.0,1404.0
82.18,592,1373,3948.0,14860.0
77.14,1433,1117,6058.0,31000.0
19.97,1092,574,13412.0,32630.0
52.49,866,557,15158.0,35958.0
73.58,1101,1446,23914.0,16161.0
39.5,1367,588,19275.0,43911.0
17.27,818,822,29002.0,11860.0
89.91,1411,762,44761.0,24191.0
42.08,1427,557,41104.0,27513.0
63.98,1243,1267,40544.0,25801.0
56.13,515,1108,29958.0,28129.0
15.85,595,907,48236.0,28343.0
20.62,977,1498,13639.0,30680.0
82.55,1106,1358,33953.0,41683.0
74.15,1104,565,24552.0,7365.0
27.25,718,1321,19715.0,18219.0
74.24,1046,977,25709.0,35697.0
71.71,759,853,19405.0,14558.0
51.48,878,1115,48064.0,39266.0
45.6,774,1485,45279.0,27646.0
78.89,1365,1191,8547.0,11526.0
23.81,1362,1392,37740.0,14517.0
89.59,890,834,16772.0,13831.0
78.11,699,707,17008.0,1870.0
14.26,802,1109,7614.0,26592.0
33.82,1481,1189,42111.0,10044.0
22.87,778,554,35047.0,1259.0
61.74,618,858,18410.0,48272.0
86.22,533,1120,49833.0,23071.0
41.44,1294,1254,13563.0,11982.0
85.62,1312,626,7593.0,44184.0
77.67,534,798,20667.0,7398.0
85.97,726,936,10178.0,29103.0
18.97,575,757,10142.0,39418.0
55.28,881,1182,9561.0,36514.0
88.08,949,1070,40220.0,39692.0
72.16,552,605,47039.0,31974.0
75.2,537,1157,38780.0,5171.0
65.34,583,990,42482.0,19775.0
25.78,572,1413,5885.0,24491.0
45.52,1477,799,47425.0,11673.0
61.34,836,1471,41311.0,30895.0
86.33,626,1366,48332.0,2379.0
78.38,527,1324,31976.0,16597.0
78.23,1453,1407,1451.0,37959.0
25.29,1302,1178,45242.0,30593.0
34.91,1223,1363,40598.0,13455.0
43.95,1317,862,37379.0,48859.0
51.63,1426,1161,25524.0,27676.0
38.37,1158,1261,21842.0,39520.0
59.53,1344,524,36070.0,36285.0
68.63,621,1291,44701.0,17701.0
73.98,1433,1086,42653.0,10192.0
44.3,789,935,13642.0,35478.0
72.58,1088,717,25140.0,46544.0
32.21,1489,1384,37438.0,20485.0
87.6,1487,530,26859.0,4445.0
25.26,1158,1042,32481.0,18259.0
58.22,744,1091,8576.0,39283.0
51.89,1032,847,7981.0,49453.0
55.17,844,802,4204.0,5734.0
74.81,1281,1349,6935.0,46238.0
32.37,1186,1061,3067.0,11904.0
49.9,1312,1194,37441.0,34075.0
43.62,868,1473,34623.0,41094.0
68.09,670,1204,1472.0,26342.0
55.71,994,1468,10707.0,16237.0
54.3,1359,1193,4265.0,42575.0
60.85,937,1424,6053.0,36359.0
51.44,534,790,3965.0,44482.0
23.73,933,1464,7534.0,34062.0
64.57,1031,967,13884.0,43224.0
40.55,1259,610,28834.0,42186.0
52.14,1493,898,48967.0,22551.0
62.86,1389,1130,8826.0,20555.0
61.05,1073,1278,15007.0,23231.0
16.68,868,1088,42143.0,12851.0
63.58,581,930,48446.0,16557.0
32.82,1247,913,47204.0,28129.0
17.73,709,1016,18931.0,5314.0
30.95,1204,1473,16535.0,34043.0
51.66,1337,969,39790.0,36946.0
86.36,712,844,48851.0,13790.0
50.54,1077,1278,36057.0,7507.0
30.87,1010,1249,1522.0,13424.0
26.24,1111,1128,24207.0,10992.0
31.89,1303,555,7818.0,26102.0
84.81,1450,870,49915.0,6219.0
35.47,566,778,25776.0,25985.0
21.07,1021,1277,16130.0,7972.0
34.1,1373,725,7835.0,31945.0
11.32,722,1440,32944.0,44807.0
75.93,1475,1009,8612.0,24963.0
56.81,1035,803,39554.0,45738.0
46.31,1020,689,27866.0,7046.0
45.68,1314,1463,46407.0,24231.0
45.25,1160,1302,2724.0,5064.0
51.57,729,936,42156.0,6376.0
43.4,738,829,14754.0,10049.0
82.23,1462,1131,44370.0,25041.0
72.08,709,748,31761.0,46715.0
53.02,1393,1383,21303.0,25432.0
36.36,891,525,21138.0,2355.0
23.69,1235,1036,1464.0,45295.0
89.73,553,1292,9742.0,49961.0
52.32,536,621,25117.0,40768.0
84.09,1406,850,33891.0,45008.0
50.43,621,1415,3138.0,4043.0
62.21,1288,1107,43808.0,7026.0
30.74,910,1105,36496.0,7545.0
54.48,876,640,31193.0,26337.0
38.26,843,867,45485.0,18859.0
87.8,1133,545,16204.0,48405.0
81.55,977,874,30193.0,7945.0
89.84,1231,619,39777.0,45244.0
39.18,793,523,28461.0,2632.0
11.05,729,609,43114.0,2429.0
11.77,807,964,46867.0,38128.0
71.52,639,899,29716.0,23451.0
63.69,926,1081,12446.0,46915.0
83.71,1403,924,14456.0,37609.0
36.1,1334,589,7311.0,2847.0
37.81,663,1455,32882.0,44565.0
50.28,935,1476,22050.0,41871.0
40.97,574,740,34893.0,35892.0
47.87,1319,1127,30629.0,6125.0
21.8,993,1150,31608.0,38261.0
88.21,1120,548,22088.0,37915.0
35.72,919,864,11602.0,43793.0
81.35,1014,849,11496.0,40220.0
81.56,1242,1149,21374.0,7293.0
46.21,851,934,24859.0,5835.0
58.47,700,588,42585.0,22561.0
29.87,656,677,42079.0,20414.0
58.59,532,1223,37085.0,6878.0
19.03,885,941,47264.0,31043.0
72.93,663,887,5368.0,38779.0
36.82,1124,952,25414.0,8748.0
59.47,792,1469,17469.0,35282.0
32.02,656,1337,11894.0,33831.0
85.23,1227,979,47379.0,5052.0
60.2,1463,1343,24773.0,22385.0
45.93,1433,760,10055.0,32453.0
60.05,747,1003,23082.0,24650.0
65.35,920,689,31853.0,26725.0
23.29,876,673,34821.0,48419.0
12.68,1221,1372,9816.0,29605.0
19.35,1121,1181,45689.0,33405.0
35.43,1315,1463,34347.0,48620.0
39.52,662,630,2214.0,15996.0
44.4,1276,1302,1758.0,14054.0
29.55,1365,833,39554.0,37303.0
72.11,917,871,17765.0,30531.0
50.19,1037,1234,14873.0,12792.0
38.28,824,1053,31791.0,23151.0
61.03,704,504,24568.0,48118.0
73.5,1393,1409,49818.0,30841.0
69.74,529,647,17555.0,7684.0
10.58,1280,786,12904.0,37974.0
31.85,1111,1034,36583.0,19043.0
62.05,1477,1380,33076.0,25087.0
51.16,926,729,12737.0,3317.0
77.63,775,1089,45830.0,9297.0
63.37,847,1016,12724.0,16897.0
42.56,1312,932,3137.0,39132.0
21.14,963,577,20681.0,34015.0
25.95,1401,1372,27655.0,31977.0
71.38,743,516,4657.0,30985.0
25.49,1485,1464,2584.0,37049.0
45.77,679,509,21243.0,10538.0
50.18,898,1378,5619.0,37404.0
50.94,971,874,40654.0,36673.0
64.91,1183,1257,33645.0,29909.0
87.61,1277,603,16754.0,28767.0
62.12,1329,787,35484.0,9185.0
11.95,867,1032,38977.0,31215.0
73.28,960,1264,23278.0,13317.0
39.61,756,1418,15724.0,24685.0
55.36,1023,812,12367.0,45774.0
26.61,542,1170,2167.0,22619.0
84.16,1153,971,32505.0,45905.0
50.76,1218,1495,35838.0,44297.0
75.15,1266,748,14933.0,17357.0
67.77,1392,969,33464.0,14837.0
77.09,510,684,10888.0,35756.0
16.67,617,1247,19053.0,3679.0
83.65,1472,878,26951.0,3664.0
74.61,1435,1326,9185.0,17504.0
34.26,766,1119,16091.0,12042.0
29.21,606,612,32506.0,23968.0
13.54,683,619,45116.0,29692.0
18.77,1491,1063,9366.0,11735.0
23.81,961,716,9910.0,25272.0
30.1,1454,902,7183.0,21660.0
37.48,1314,905,41574.0,47273.0
72.72,1035,596,7782.0,37740.0
47.16,1150,1406,30394.0,45060.0
37.92,1365,611,49295.0,4446.0
26.03,1258,1477,5941.0,5769.0
18.13,918,674,31954.0,3856.0
87.16,754,817,10793.0,20197.0
46.13,1479,820,13173.0,34812.0
21.36,1078,1056,4215.0,23923.0
61.57,822,542,4091.0,30912.0
73.3,820,836,32953.0,37804.0
56.36,656,1198,21463.0,25438.0
21.82,747,516,2736.0,43256.0
67.5,1094,896,10907.0,22910.0
49.14,1322,1309,41851.0,19040.0
42.53,1013,568,42192.0,28990.0
69.92,1248,816,44803.0,24907.0
11.58,526,992,21457.0,27048.0
67.03,1255,849,24529.0,40370.0
14.51,1489,807,2900.0,16262.0
36.08,992,1293,30043.0,32600.0
20.61,821,1019,5043.0,13312.0
60.96,1218,742,1416.0,36551.0
68.1,1264,1311,16811.0,25408.0
39.07,1264,851,25498.0,33604.0
44.01,1481,982,47895.0,40212.0
46.12,510,813,1935.0,34965.0
15.77,1495,572,45182.0,29473.0
65.62,1173,501,13553.0,17905.0
87.18,652,911,42500.0,48403.0
31.49,1342,559,37858.0,19095.0
14.13,1225,1444,13513.0,45801.0
47.76,835,722,42722.0,46713.0
76.18,891,1205,28909.0,19373.0
88.63,823,810,34700.0,28546.0
32.11,628,1029,19143.0,10394.0
56.56,527,1000,13929.0,32232.0
52.05,722,1341,21411.0,27132.0
87.09,1258,1144,27964.0,38038.0
15.79,1078,978,38957.0,32094.0
76.51,1282,1404,7814.0,48569.0
54.27,922,923,35596.0,25643.0
65.88,629,1256,45135.0,17046.0
46.27,789,626,37658.0,32328.0
83.8,969,1425,38943.0,9525.0
29.19,962,626,41518.0,7181.0
64.43,1375,1454,37378.0,16482.0
38.15,986,937,10239.0,5080.0
71.58,884,1116,10601.0,46975.0
80.9,716,1413,38052.0,5479.0
43.23,563,940,34498.0,23105.0
30.41,1259,796,49106.0,28111.0
69.0,983,1453,20328.0,2611.0
20.38,551,726,32450.0,15011.0
37.12,897,962,42373.0,9291.0
20.6,519,1255,29233.0,15886.0
32.06,544,565,18914.0,14854.0
17.99,980,767,13381.0,20680.0
48.85,503,641,8875.0,33558.0
11.27,1332,691,26477.0,20247.0
20.26,807,523,1738.0,41898.0
32.14,1465,827,8085.0,44320.0
32.3,1224,1378,34593.0,25429.0
55.0,1152,685,13404.0,46362.0
27.76,1244,1012,24940.0,39040.0
26.18,562,1183,31716.0,1108.0
61.58,1387,1494,22029.0,21867.0
60.08,793,1422,2521.0,1772.0
87.01,1425,960,19855.0,40383.0
42.71,904,891,35482.0,9458.0
40.23,849,1288,29624.0,45739.0
80.35,1014,1433,30190.0,11945.0
68.29,1008,949,9537.0,33667.0
64.39,1006,536,16752.0,22990.0
28.4,599,1185,17900.0,40003.0
65.73,1359,1048,27376.0,27369.0
53.16,1310,802,12361.0,2136.0
77.99,1295,1012,9311.0,13837.0
71.2,1376,1298,3442.0,36340.0
18.4,589,652,6504.0,25117.0
72.65,1193,820,21602.0,25205.0
48.4,869,1018,15178.0,35617.0
76.04,1406,541,33020.0,35454.0
64.3,1296,1467,30818.0,25487.0
78.76,917,1101,5995.0,10590.0
74.18,632,870,35381.0,22789.0
20.2,521,1123,32746.0,27513.0
42.81,1467,631,30165.0,45477.0
15.51,940,1183,11535.0,15846.0
41.22,1483,908,46414.0,41138.0
10.71,708,1291,15540.0,26120.0
66.81,770,1488,49842.0,19948.0
85.81,1019,1209,17817.0,30264.0
60.54,803,699,21262.0,27760.0
48.87,1270,972,46697.0,25305.0
69.4,732,1099,19491.0,45766.0
11.83,1256,901,29568.0,46033.0
88.45,758,1454,9216.0,4684.0
84.74,689,707,7517.0,22687.0
56.46,972,1282,25842.0,24081.0
73.27,1198,1082,1090.0,15657.0
89.17,544,1139,15775.0,4948.0
28.02,1091,949,22236.0,43138.0
81.23,738,625,6676.0,41052.0
63.8,1431,819,31118.0,4667.0
67.39,599,1351,2515.0,3664.0
65.31,1174,1218,45002.0,7330.0
15.86,1256,1494,5765.0,5937.0
23.31,1424,1409,37602.0,39632.0
47.51,920,1094,30766.0,6963.0
17.84,1320,947,2451.0,3279.0
48.88,1051,688,27062.0,40287.0
65.41,600,705,13903.0,15933.0
